PDRB BUKECAP ADHK (Miliar Rupiah);2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Pertanian, Kehutanan, dan Perikanan;12555,24;12952,62;13717,48;13914,19;13847,53;14714,32;14781,1;15123,53;15482,42;15393,43;15550,03;15673,54;15836,81;16171,23;16346,08;17412,09
Pertambangan dan Penggalian;4120,7;3682,94;3843,91;4099,39;4676,05;4733,34;4795,12;4956,6;5151,87;5341,41;5361,39;5588,62;5526,99;5606,34;5812,58;5844,51
Industri Pengolahan;61114,21;64131,32;65335,79;66486,6;68313,27;72411,3;76202,56;77529,72;79365,47;80949,21;71573,18;73200,31;76043,8;80273,99;81806,26;83890,38
Pengadaan Listrik dan Gas;66,56;70,79;77,62;85,58;97,05;105,04;113,94;120,31;127,7;134,97;138,54;145,01;150,63;160,08;172,67;179,76
Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;66,91;68,51;65,82;66,03;67,97;68,66;70,1;75,17;79,43;83,04;86,95;91,11;94,86;99,66;106,46;107,52
Konstruksi;7176,59;7317,53;7743,56;7989,68;8325,56;8841,24;9758,46;10531,66;11265,19;11838,42;11380,09;12123,68;12546,17;13233,15;14313,41;15160,81
"Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor";9560,39;10476,73;10592,85;11082,09;11567,82;12161,99;12920,98;13724,88;14669,87;15665,44;15192,37;16038,23;16599,63;17538,87;18370,17;19371,44
Transportasi dan Pergudangan;2800,02;2968,67;3108,96;3450,15;3775,17;4119,74;4392,38;4640,55;4963,27;5339,93;3782,19;3875,9;7040,99;7539,85;7826,63;8380,18
Penyediaan Akomodasi dan Makan Minum;1639,21;1730,98;1796,69;1910,86;2076,51;2242,38;2418,22;2604,06;2778,97;3009,62;2837,55;3003,22;3493,75;3924;4310,15;4793,59
Informasi dan Komunikasi;2359,41;2533,59;2704;2882,44;3263,77;3574,27;3894,67;4490,6;5060,46;5809,38;6501,04;6772,22;6887,66;7561,09;8231,08;8935,58
Jasa Keuangan dan Asuransi;1587,3;1728,98;1769,88;1850,23;1921,3;2039,87;2212,17;2342,8;2428,05;2525,87;2573,44;2601,85;2626,51;2681,61;2743,17;2845,29
Real Estate;1206;1284,42;1337,44;1462,52;1607,1;1726,76;1838,84;1974,71;2079,3;2207,72;2203,22;2240;2361,66;2522,87;2671,81;2791,11
Jasa Perusahaan;159,5;174,85;188,62;219,09;236,66;259,14;280,21;304,92;333,77;367,62;344,3;352,05;372,61;394,27;429,21;458,17
Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;2146,65;2234,51;2235,29;2293,3;2322,1;2477,84;2541,01;2604,34;2688,46;2766,25;2732,74;2738,39;2772,16;2868,7;3120,76;3171,25
Jasa Pendidikan;2219,67;2669,27;3083,49;3391,08;3677,41;3911,44;4168,86;4493,64;4885,56;5284,18;5269,39;5283,63;5365,62;5621,02;6062,59;6484,66
Jasa Kesehatan dan Kegiatan Sosial;443,58;494,92;550,87;602,34;668,77;717,26;785,82;860,12;945,6;1016,63;1094,2;1104,79;1133,28;1183,52;1264,54;1329,3
Jasa Lainnya;1205,5;1243,78;1239,2;1363,57;1478,24;1533,45;1658,96;1819,08;1987,71;2188,56;2040,26;2051,88;2319,99;2462,63;2621,5;2797,66
Total PDRB;110427,45;115764,41;119391,46;123149,14;127922,28;135638,04;142833,42;148196,69;154293,12;159921,68;148660,86;152884,46;161173,13;169842,89;176209,1;183953,32
